"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","Player_NumOPA_Sweeper","Player_NumOPA_per_90_Sweeper","AvgDist_Sweeper","PlayerURL"
NA,"2022 Real Salt Lake","","Zac MacMath","USA","GK","30",34,45,6,0,3,0,43.1,0.24,-1.9,-0.05,247,700,35.3,928,145,53.3,42.2,287,71.4,52,477,37,7.8,41,1.21,14.2,"https://fbref.com/en/players/06caac45/Zac-MacMath"
NA,"2022 Portland Timbers","","Aljaž Ivačič","SVN","GK","28",32,50,1,1,6,2,53.7,0.32,5.7,0.18,124,412,30.1,586,124,41.5,36.7,283,59.7,46.7,571,19,3.3,18,0.56,11.6,"https://fbref.com/en/players/4d6e50d8/Aljaz-Ivacic"
NA,"2022 Portland Timbers","","David Bingham","USA","GK","32",2,3,0,0,1,0,2.7,0.21,-0.3,-0.14,11,50,22,55,6,65.5,46.7,16,87.5,61.6,35,3,8.6,0,0,10,"https://fbref.com/en/players/7fd42a85/David-Bingham"
NA,"2022 Vancouver Whitecaps FC","","Thomas Hasal","CAN","GK","22",16.8,27,1,0,3,0,22.9,0.27,-4.1,-0.24,72,207,34.8,252,67,47.6,37.8,117,74.4,52.4,244,25,10.2,15,0.89,11.3,"https://fbref.com/en/players/86bac87b/Thomas-Hasal"
NA,"2022 Vancouver Whitecaps FC","","Cody Cropper","USA","GK","28",13.7,24,3,0,1,0,17.7,0.3,-6.3,-0.46,57,149,38.3,180,44,37.2,36.3,126,65.1,46.1,199,10,5,2,0.15,9.6,"https://fbref.com/en/players/aa133046/Cody-Cropper"
NA,"2022 Vancouver Whitecaps FC","","Isaac Boehmer","USA","GK","20",2.5,4,1,0,1,0,3.1,0.18,-0.9,-0.36,21,44,47.7,47,19,40.4,36.1,29,86.2,55.5,48,3,6.3,0,0,7.8,"https://fbref.com/en/players/9792574e/Isaac-Boehmer"
NA,"2022 Vancouver Whitecaps FC","","Max Anchor","CAN","GK","17",1,2,0,0,0,0,2.5,0.41,0.5,0.46,2,6,33.3,13,6,23.1,26.8,5,60,41.6,18,1,5.6,0,0,3.5,"https://fbref.com/en/players/d6aa8848/Max-Anchor"
NA,"2022 Colorado Rapids","","William Yarbrough","USA","GK","32",33.5,54,9,0,5,0,49.2,0.26,-4.8,-0.14,142,359,39.6,685,146,37.4,34.6,272,37.9,34.2,409,10,2.4,26,0.78,14.9,"https://fbref.com/en/players/ec646e88/William-Yarbrough"
NA,"2022 Colorado Rapids","","Abraham Rodriguez","USA","GK","19",0.5,3,1,0,0,0,3.1,0.43,0.1,0.27,1,1,100,7,3,14.3,24.1,2,0,4.5,4,0,0,0,0,NA,"https://fbref.com/en/players/c7e14787/Abraham-Rodriguez"
NA,"2022 Seattle Sounders FC","","Stefan Frei","SUI","GK","35",27,38,6,1,3,0,41.1,0.29,3.1,0.11,127,290,43.8,634,110,29.3,32.1,238,43.7,37.9,333,7,2.1,15,0.56,12.7,"https://fbref.com/en/players/1d0a0f3e/Stefan-Frei"
NA,"2022 Seattle Sounders FC","","Stefan Cleveland","USA","GK","27",7,8,0,0,1,0,9.9,0.28,1.9,0.27,23,70,32.9,164,38,29.9,31.4,68,30.9,31.6,96,3,3.1,1,0.14,10.9,"https://fbref.com/en/players/873fdbdf/Stefan-Cleveland"
NA,"2022 Sporting KC","","Tim Melia","USA","GK","35",20.6,34,2,1,2,0,32.1,0.38,-1.9,-0.09,81,237,34.2,453,78,35.3,34.5,157,49,41.8,253,6,2.4,10,0.49,14.7,"https://fbref.com/en/players/cc741f50/Tim-Melia"
NA,"2022 Sporting KC","","John Pulskamp","USA","GK","20",11.4,18,2,0,2,1,15.1,0.25,-1.9,-0.16,39,115,33.9,233,47,33,33.4,80,47.5,40.4,142,3,2.1,2,0.18,12.1,"https://fbref.com/en/players/6b306c92/John-Pulskamp"
NA,"2022 Sporting KC","","Kendall McIntosh","USA","GK","28",2,2,0,0,0,0,1.3,0.13,-0.7,-0.33,4,11,36.4,34,12,26.5,29.4,8,25,22.6,19,0,0,0,0,6.6,"https://fbref.com/en/players/d1f3e74b/Kendall-McIntosh"
NA,"2022 Houston Dynamo","","Steve Clark","USA","GK","35",32.3,48,6,1,8,2,44.6,0.26,-1.4,-0.04,127,348,36.5,889,163,21.4,27.9,311,50.8,40.3,539,25,4.6,37,1.15,14.4,"https://fbref.com/en/players/ed6320b7/Steve-Clark"
NA,"2022 Houston Dynamo","","Michael Nelson","USA","GK","26",1.7,8,0,1,0,0,7.9,0.6,-0.1,-0.08,4,10,40,25,5,24,29,13,30.8,29.2,24,0,0,2,1.16,12.1,"https://fbref.com/en/players/f4a12161/Michael-Nelson"
NA,"2022 San Jose Earthquakes","","J.T. Marcinkowski","USA","GK","24",32.5,66,6,1,8,0,58,0.3,-8,-0.25,140,390,35.9,808,188,34.5,34.5,238,46.6,38.6,389,22,5.7,33,1.02,15.5,"https://fbref.com/en/players/977791f4/JT-Marcinkowski"
NA,"2022 San Jose Earthquakes","","Matt Bersano","USA","GK","29",1.5,3,0,0,1,0,3.8,0.43,0.8,0.55,4,8,50,28,2,14.3,28.5,12,33.3,37.3,15,0,0,0,0,11.7,"https://fbref.com/en/players/9110da2b/Matt-Bersano"
